ID,PV_mean,PV_std,PV_count,NPV_mean,NPV_std,NPV_count,BS_mean,BS_std,BS_count
NTAGFU0026-53673,27.33,1.70,3,59.67,3.30,3,12.00,1.63,3
NTAGFU0027-53674,25.62,3.37,16,58.56,2.52,16,14.94,2.73,16
NTAGFU0028-53675,30.06,4.49,16,49.19,3.89,16,19.38,5.22,16
NTAGFU0029-53676,19.06,3.25,16,66.12,3.48,16,13.81,4.32,16
NTAGFU0033-53680,51.00,1.22,4,44.50,1.50,4,0.00,0.00,4
NTAGFU0034-53681,16.00,2.92,4,67.25,5.80,4,16.25,3.34,4
NTAGFU0036-53683,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAGFU0037-53684,27.50,3.00,16,64.38,3.69,16,7.25,2.19,16
NTAGFU0038-53685,28.50,2.76,16,65.81,1.94,16,4.69,2.39,16
NTAGFU0039-53686,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAGFU0040-53687,41.94,3.56,16,43.44,5.04,16,13.56,6.64,16
NTAGFU0041-58425,51.55,2.50,11,41.18,2.98,11,6.00,1.76,11
NTAMAC0001-53574,17.27,0.75,11,23.55,1.08,11,57.36,1.07,11
NTAMAC0002-53575,18.56,3.33,16,39.81,7.06,16,40.19,9.13,16
NTAMAC0002-58734,15.06,3.44,16,49.12,7.03,16,34.25,8.13,16
NTAMAC0003-53576,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAMGD0001-53520,35.94,1.92,16,34.56,8.23,16,28.50,8.85,16
